bank,path,blob_sha1,headline_status,normalized,compile_gate,compile_codes,voice_leaf_gate,fx_leaves_gate,fx_rng_gate,wavetable_leaf_gate,routing_leaves_gate,fidelity_contract_gate,essentiality_listening,fx_required,b4_prediction,slates,reasons
contributor,resources/data/patches_3rdparty/A.Liv/Basses/808er Than 808.fxp,ccf42b0e8bdc1c7884b3badbd3b26c6ec4ba0aba,unresolved,PASS,NO_VERDICT,audio_input_dependency;effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Ring Mod,unresolved,,scan_code:audio_input_dependency;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Amen Polska.fxp,4476029209d77064a7c2bf4f58fef78f7f2c10fc,unresolved,PASS,PASS,,NOT_RUN,,,NOT_RUN,,STALE,,,supported,,"leaf_partial:osc:Wavetable(SXT-026-s4-deep-mip-finding->#12);stale_downgrade:never-reported-supported;stale_gate:fidelity_freeze(evidence hash mismatch for reports/sxt-023/EVIDENCE.md: expected cadf031ad410597ae9290ed01ad3032ea2d5168a1b2e34f10d92c51fdf046cb7, found 986207e49417240cae5f7f65dbc085b699732a74c65042e8d8d7649edfc0af2d);voice_leaf_scope_exceeded:outside-fixture-verified-set(SXT-026a;voice-family-leaves-#66-#77-backlog)"
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Bonsai 808.fxp,07dc94a1093ea5f157d72d809c6b8850483e929e,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported,,,,,,,,Bonsai,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Dynamo Square.fxp,62e57f726fb5d7b448ec5af03ba103cd044fd2f8,unresolved,PASS,NO_VERDICT,audio_input_dependency;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,,unresolved,,scan_code:audio_input_dependency;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Move Like A Bucket Truck.fxp,e7720dc7e27f63c49ee4b5fbc66a519e6f47b12a,unresolved,PASS,NO_VERDICT,mseg_or_formula_contents_not_exported,,,,,,,,,unresolved,,scan_code:mseg_or_formula_contents_not_exported
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Raspy Ring On It.fxp,93acf18e094d2c1167629dac6d9c828e4e490e3d,unresolved,PASS,NO_VERDICT,audio_input_dependency;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,,unresolved,,scan_code:audio_input_dependency;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Seek And Ye Shall Find.fxp,c80ae2e0ea64a843b98b1ad7b4859fc0d83d3c26,unsupported,PASS,FAIL,effect_class_not_in_bundle,,,BLOCKED,,,,,Bonsai;Phaser,unsupported,,rng_stream_unpinnable:Phaser(DR-0013;#122->#12;coverage-reduction-published);scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Sqweird.fxp,85fe24af68654f66116dea410b47270674b74f18,unsupported,PASS,FAIL,oscillator_family_not_in_bundle,,,,,,,,,unsupported,,scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Basses/Sub Wrap Example.fxp,797d63a656c8e25f4e689165713f61ba363f8a42,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,BLOCKED,Bonsai,unresolved,slate-256-balanced,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Keys/Grant Me....fxp,5d89df58693a9db34730cf2ea8a422484f7c6049,unresolved,PASS,PASS,,NOT_RUN,STALE,,,,STALE,,Delay;Reverb 2,supported,,"leaf_not_landed:fx:Reverb 2(#58);stale_downgrade:never-reported-supported;stale_gate:fidelity_freeze(evidence hash mismatch for reports/sxt-023/EVIDENCE.md: expected cadf031ad410597ae9290ed01ad3032ea2d5168a1b2e34f10d92c51fdf046cb7, found 986207e49417240cae5f7f65dbc085b699732a74c65042e8d8d7649edfc0af2d);stale_leaf:fx:Delay(evidence hash mismatch for reports/sxt-023/EVIDENCE.md: expected cadf031ad410597ae9290ed01ad3032ea2d5168a1b2e34f10d92c51fdf046cb7, found 986207e49417240cae5f7f65dbc085b699732a74c65042e8d8d7649edfc0af2d);voice_leaf_scope_exceeded:outside-fixture-verified-set(SXT-026a;voice-family-leaves-#66-#77-backlog)"
contributor,resources/data/patches_3rdparty/A.Liv/Keys/I See I Saw.fxp,0742bdae8da8430220051945fed05aaa06793d04,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,BLOCKED,,,,,Delay;Delay;Delay;Graphic EQ;Phaser;Tape,unresolved,,rng_stream_unpinnable:Tape(DR-0013;#122->#12;coverage-reduction-published);scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Keys/July.fxp,315c0a1a27a671297f437026c021ce917f1e3875,unresolved,PASS,NO_VERDICT,airwindows_algorithm_not_selected;effect_class_not_in_bundle;mseg_or_formula_contents_not_exported,,,,,,,,Airwindows:Chamber(aw54);Audio In;Delay;Phaser,unresolved,,scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported
contributor,resources/data/patches_3rdparty/A.Liv/Keys/March.fxp,9389571a9b93948e94d8f1a3cdad9d0da60f6cc1,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported,,,BLOCKED,,,,BLOCKED,Delay;EQ;Graphic EQ;Reverb 2;Tape,unresolved,slate-256-balanced;slate-256-contributor-lean;slate-256-factory-lean,rng_stream_unpinnable:Tape(DR-0013;#122->#12;coverage-reduction-published);scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported
contributor,resources/data/patches_3rdparty/A.Liv/Keys/November.fxp,c5576fe0f154f3ed484634da3e0e945e63f1f46e,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;polylimit_reduction_required,,,BLOCKED,,,,BLOCKED,EQ;Graphic EQ;Phaser;Spring Reverb;Tape;Waveshaper,unresolved,slate-256-balanced,also_requires_edit:polylimit_reduction_required;rng_stream_unpinnable:Spring Reverb+Tape(DR-0013;#122->#12;coverage-reduction-published);scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:polylimit_reduction_required
contributor,resources/data/patches_3rdparty/A.Liv/Leads/Hurdy Pardner!.fxp,bb6b4246f1b42025c8606e3b71252e90a32aac5d,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported,,,,,,,BLOCKED,Combulator;Reverb 1,unresolved,slate-256-balanced;slate-256-contributor-lean;slate-256-factory-lean,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported
contributor,resources/data/patches_3rdparty/A.Liv/Leads/Let Life Give Limes.fxp,c3082002e7c37f60f9552782eeb90b09fd80861d,unresolved,PASS,NO_VERDICT,airwindows_algorithm_not_selected;effect_class_not_in_bundle;mseg_or_formula_contents_not_exported,,,BLOCKED,,,,BLOCKED,Airwindows:Chamber(aw54);Airwindows:Galactic(aw49);Audio In;Delay;Tape,unresolved,slate-256-balanced;slate-256-contributor-lean;slate-256-factory-lean,rng_stream_unpinnable:Tape(DR-0013;#122->#12;coverage-reduction-published);scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported
contributor,resources/data/patches_3rdparty/A.Liv/Leads/Novuo.fxp,e688adfdcdee44073968942914733783163b0e8c,unsupported,PASS,FAIL,audio_input_dependency;oscillator_family_not_in_bundle,,,,,,,,Chorus;Delay;Distortion;EQ;Reverb 2,unsupported,,scan_code:audio_input_dependency;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Plucks/Cute 1.fxp,263de528a26f764cc80bc3ef963750eeece862a8,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;audio_input_dependency;effect_class_not_in_bundle,,,BLOCKED,,,,,Airwindows:Chamber(aw54);Audio In;Audio In;Delay;Phaser,unsupported,,rng_stream_unpinnable:Phaser(DR-0013;#122->#12;coverage-reduction-published);scan_code:airwindows_algorithm_not_selected;scan_code:audio_input_dependency;scan_code:effect_class_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Plucks/Cute 2.fxp,1cb2a7ae6111b99172948027ab65b649130bda27,unsupported,PASS,FAIL,airwindows_algorithm_not_selected;effect_class_not_in_bundle;send_levels_not_exported,,,BLOCKED,,,,BLOCKED,Airwindows:Chamber(aw54);Audio In;Combulator;Delay;Delay;Phaser;Tape,unsupported,slate-256-balanced;slate-256-contributor-lean,rng_stream_unpinnable:Tape(DR-0013;#122->#12;coverage-reduction-published);scan_code:airwindows_algorithm_not_selected;scan_code:effect_class_not_in_bundle;scan_code:send_levels_not_exported
contributor,resources/data/patches_3rdparty/A.Liv/Plucks/Cute 3.fxp,37d7be69370c7aa9a275056a685adba767196d80,unresolved,PASS,NO_VERDICT,audio_input_dependency;effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,BLOCKED,,,,,Airwindows:Galactic(aw49);Audio In;Delay;Delay;Freq Shift;Graphic EQ;Phaser;Spring Reverb,unresolved,,rng_stream_unpinnable:Spring Reverb(DR-0013;#122->#12;coverage-reduction-published);scan_code:audio_input_dependency;scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
contributor,resources/data/patches_3rdparty/A.Liv/Plucks/Taped Plucks.fxp,402c3cca76e8668e419e22bf1410c8403408be07,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;polylimit_reduction_required,,,BLOCKED,,,,,Conditioner;Delay;Delay;Tape,unresolved,,also_requires_edit:polylimit_reduction_required;rng_stream_unpinnable:Tape(DR-0013;#122->#12;coverage-reduction-published);scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:polylimit_reduction_required
contributor,resources/data/patches_3rdparty/Aleksey Zhehanov/Basses/Double Bass.fxp,8677a81d70e9cd96aa002a2572e9d402ed57ba9a,unresolved,PASS,NO_VERDICT,effect_class_not_in_bundle;mseg_or_formula_contents_not_exported;oscillator_family_not_in_bundle,,,,,,,,Delay;Graphic EQ;Resonator;Reverb 2,unresolved,,scan_code:effect_class_not_in_bundle;scan_code:mseg_or_formula_contents_not_exported;scan_code:oscillator_family_not_in_bundle
